STATE,FID,Yr_2008,rank_2008,Yr_2009,Yr_2010,rank_2010,Yr_2011,Yr_2012,rank_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017,rank_2017,STAFF,StaffDIVBarrels
Alabama,01,7696,15,7189,7155,15,8373,9525,15,10408,9825,9694,8107,6827,17,16,2.34
Alaska,02,249893,2,235510,218904,2,204829,192401,4,187923,181130,176235,179169,180467,3,20,0.11
Arizona,04,54,30,46,37,30,37,52,30,60,56,37,8,13,31,,
Arkansas,05,6079,17,5755,5733,17,5877,6536,17,6640,6775,6229,5519,5288,20,,0
California,06,214533,3,207262,200370,3,196172,197211,3,198928,204699,201284,186079,174107,4,,0
Colorado,08,29946,11,30365,33014,10,39472,49619,9,66222,95560,122792,116481,130732,7,46,0.35
Connecticut,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District_of_Columbia,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,12,1953,23,696,1777,24,2023,2135,24,2174,2227,2208,1934,1923,23,,0
Georgia,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,16,0,32,0,0,0,0,0,0,0,0,30,215,91,30,,
Illinois,17,9430,14,9099,9067,14,9158,9733,14,9539,9546,9520,8639,8314,16,16,1.92
Indiana,18,1859,24,1803,1835,23,1987,2350,23,2399,2507,2219,1817,1779,24,,0
Iowa,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,20,39663,9,39466,40468,9,41507,43743,10,46846,49513,45467,37938,35822,10,,0
Kentucky,21,2645,20,2609,2519,20,2326,3198,20,2305,2626,2862,2595,2477,21,16,6.46
Louisiana,22,72346,4,68822,67273,6,68958,70591,7,71938,69335,63610,56820,52024,9,,0
Maine,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,26,6370,16,6258,6978,16,7038,7446,16,7097,7470,6652,5675,5319,19,,0
Minnesota,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,28,22104,12,23232,24080,13,24246,24593,13,24345,24346,24918,20385,17781,14,8,0.45
Missouri,29,99,29,106,146,29,118,175,29,199,196,149,123,113,29,,
Montana,30,31596,10,27835,25332,11,24155,26494,12,29288,29897,28557,23178,20706,12,17,0.82
Nebraska,31,2394,21,2239,2331,21,2544,3025,21,2808,3050,2910,2288,2125,22,4,1.88
Nevada,32,436,26,438,426,26,408,368,27,334,316,281,277,286,26,,
New_Hampshire,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New_Jersey,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New_Mexico,35,60155,7,61178,65569,7,71506,85552,6,102789,125021,147663,146389,171440,5,24,0.14
New_York,36,387,27,333,381,27,375,362,28,366,356,286,225,184,28,,
North_Carolina,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North_Dakota,38,62322,6,79318,112524,4,152387,242325,2,312294,394603,429583,377803,392127,2,35,0.09
Ohio,39,5088,18,4890,4772,18,4657,5111,18,8009,15078,26701,21559,18942,13,29,1.53
Oklahoma,40,67299,5,65165,68098,5,77208,94434,5,115220,140086,166801,155679,165920,6,59,0.36
Oregon,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,42,2999,19,2967,3238,19,3431,4319,19,5307,6849,7085,6306,6573,18,,0
Rhode_Island,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South_Carolina,45,,,,,,,,,,,,,,,,
South_Dakota,46,1700,25,1664,1607,25,1634,1754,25,1850,1798,1666,1407,1305,25,4,3.07
Tennessee,47,338,28,268,257,28,296,371,26,334,330,296,257,271,27,,
Texas,48,405938,1,399308,426719,1,529492,724422,1,927417,1157917,1256974,1163213,1272575,1,147,0.12
Utah,49,22039,13,22940,24663,12,26305,30210,11,35016,40898,37139,30529,34205,11,7,0.2
Vermont,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,51,16,31,12,12,31,11,9,31,10,14,11,7,7,32,,
Washington,53,,,,,,,,,,,,,,,,
West_Virginia,54,2126,22,1501,1842,22,2146,2573,22,7239,10330,11572,7636,9469,15,18,1.9
Wisconsin,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,56,53045,8,51531,53891,8,54621,57966,8,63487,76119,86409,72553,75669,8,16,0.21
